Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
GNRC,Buy,9,188.2,138.11,-26.62,-17.61,-30.89,-32.31
IWM,Buy,9,238.47,251.29,5.37,-8.37,-13.55,-13.37
XBI,Buy,9,99.57,123.89,24.42,-9.59,-11.84,-17.2
EEM,Buy,10,41.54,53.88,29.7,-1.7,4.56,9.37
BABA,Buy,10,85.92,151.14,75.91,-2.95,61.42,36.72
PYPL,Buy,8,86.57,59.58,-31.18,-1.64,-19.9,-16.1
INTC,Buy,8,24.05,37.47,55.82,-16.63,-13.47,-15.8
GOOS,Buy,8,9.44,12.75,35.1,6.25,5.3,23.94
DIS,Hold,7,115.67,112.75,-2.53,-4.79,-6.53,-2.96
DEO,Hold,7,114.58,89.69,-21.72,6.51,-3.07,-5.75
ETSY,Hold,8,54.86,54.5,-0.65,-3.59,-8.86,12.19
GNRC,Buy,9,188.2,138.11,-26.62,-17.61,-30.89,-32.31
IWM,Buy,9,238.47,251.29,5.37,-8.37,-13.55,-13.37
XBI,Buy,9,99.57,123.89,24.42,-9.59,-11.84,-17.2
EEM,Buy,10,41.54,53.88,29.7,-1.7,4.56,9.37
BABA,Buy,10,85.92,151.14,75.91,-2.95,61.42,36.72
PYPL,Buy,8,86.57,59.58,-31.18,-1.64,-19.9,-16.1
INTC,Buy,8,24.05,37.47,55.82,-16.63,-13.47,-15.8
GOOS,Buy,8,9.44,12.75,35.1,6.25,5.3,23.94
DIS,Hold,7,115.67,112.75,-2.53,-4.79,-6.53,-2.96
DEO,Hold,7,114.58,89.69,-21.72,6.51,-3.07,-5.75
ETSY,Hold,8,54.86,54.5,-0.65,-3.59,-8.86,12.19
GNRC,Buy,9,188.2,138.11,-26.62,-17.61,-30.89,-32.31
IWM,Buy,9,238.47,251.29,5.37,-8.37,-13.55,-13.37
XBI,Buy,9,99.57,123.89,24.42,-9.59,-11.84,-17.2
EEM,Buy,10,41.54,53.88,29.7,-1.7,4.56,9.37
BABA,Buy,10,85.92,151.14,75.91,-2.95,61.42,36.72
PYPL,Buy,8,86.57,59.58,-31.18,-1.64,-19.9,-16.1
INTC,Buy,8,24.05,37.47,55.82,-16.63,-13.47,-15.8
GOOS,Buy,8,9.44,12.75,35.1,6.25,5.3,23.94
DIS,Hold,7,115.67,112.75,-2.53,-4.79,-6.53,-2.96
DEO,Hold,7,114.58,89.69,-21.72,6.51,-3.07,-5.75
ETSY,Hold,8,54.86,54.5,-0.65,-3.59,-8.86,12.19
