Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
VFC,Buy,9,21.19,18.69,-11.76,18.27,-23.64,-46.54
PYPL,Buy,9,86.58,59.58,-31.18,3.4,-18.35,-15.8
XBI,Buy,8,89.77,123.89,38.02,3.53,-3.03,-7.27
BABA,Buy,10,82.91,151.14,82.3,2.12,57.45,38.16
BA,Buy,8,177.04,215.61,21.79,0.82,3.13,12.35
DIS,Buy,7,110.15,112.75,2.36,-0.3,-8.76,7.69
TLT,Buy,7,84.4,87.54,3.73,-1.12,2.91,1.44
ETSY,Buy,8,57.14,54.5,-4.61,-7.09,-16.31,-7.16
CPS,Buy,8,13.47,35.27,161.84,18.86,30.88,48.92
BAX,Buy,8,28.39,19.13,-32.61,12.28,14.53,7.03
YETI,Hold,5,39.63,44.24,11.63,-4.49,-14.56,-23.52
PZZA,Hold,5,38.16,40.64,6.5,-0.05,2.95,22.79
HDSN,Pass,2,5.3,7.11,34.15,11.51,17.74,50.57
VALE,Hold,5,8.17,12.82,56.95,1.25,19.42,7.23
VFC,Buy,9,21.19,18.69,-11.76,18.27,-23.64,-46.54
PYPL,Buy,9,86.58,59.58,-31.18,3.4,-18.35,-15.8
XBI,Buy,8,89.77,123.89,38.02,3.53,-3.03,-7.27
BABA,Buy,10,82.91,151.14,82.3,2.12,57.45,38.16
BA,Buy,8,177.04,215.61,21.79,0.82,3.13,12.35
DIS,Buy,7,110.15,112.75,2.36,-0.3,-8.76,7.69
TLT,Buy,7,84.4,87.54,3.73,-1.12,2.91,1.44
ETSY,Buy,8,57.14,54.5,-4.61,-7.09,-16.31,-7.16
CPS,Buy,8,13.47,35.27,161.84,18.86,30.88,48.92
BAX,Buy,8,28.39,19.13,-32.61,12.28,14.53,7.03
YETI,Hold,5,39.63,44.24,11.63,-4.49,-14.56,-23.52
PZZA,Hold,5,38.16,40.64,6.5,-0.05,2.95,22.79
HDSN,Pass,2,5.3,7.11,34.15,11.51,17.74,50.57
VALE,Hold,5,8.17,12.82,56.95,1.25,19.42,7.23
VFC,Buy,9,21.19,18.69,-11.76,18.27,-23.64,-46.54
PYPL,Buy,9,86.58,59.58,-31.18,3.4,-18.35,-15.8
XBI,Buy,8,89.77,123.89,38.02,3.53,-3.03,-7.27
BABA,Buy,10,82.91,151.14,82.3,2.12,57.45,38.16
BA,Buy,8,177.04,215.61,21.79,0.82,3.13,12.35
DIS,Buy,7,110.15,112.75,2.36,-0.3,-8.76,7.69
TLT,Buy,7,84.4,87.54,3.73,-1.12,2.91,1.44
ETSY,Buy,8,57.14,54.5,-4.61,-7.09,-16.31,-7.16
CPS,Buy,8,13.47,35.27,161.84,18.86,30.88,48.92
BAX,Buy,8,28.39,19.13,-32.61,12.28,14.53,7.03
YETI,Hold,5,39.63,44.24,11.63,-4.49,-14.56,-23.52
PZZA,Hold,5,38.16,40.64,6.5,-0.05,2.95,22.79
HDSN,Pass,2,5.3,7.11,34.15,11.51,17.74,50.57
VALE,Hold,5,8.17,12.82,56.95,1.25,19.42,7.23
VFC,Buy,9,21.19,18.69,-11.76,18.27,-23.64,-46.54
PYPL,Buy,9,86.58,59.58,-31.18,3.4,-18.35,-15.8
XBI,Buy,8,89.77,123.89,38.02,3.53,-3.03,-7.27
BABA,Buy,10,82.91,151.14,82.3,2.12,57.45,38.16
BA,Buy,8,177.04,215.61,21.79,0.82,3.13,12.35
DIS,Buy,7,110.15,112.75,2.36,-0.3,-8.76,7.69
TLT,Buy,7,84.4,87.54,3.73,-1.12,2.91,1.44
ETSY,Buy,8,57.14,54.5,-4.61,-7.09,-16.31,-7.16
CPS,Buy,8,13.47,35.27,161.84,18.86,30.88,48.92
BAX,Buy,8,28.39,19.13,-32.61,12.28,14.53,7.03
YETI,Hold,5,39.63,44.24,11.63,-4.49,-14.56,-23.52
PZZA,Hold,5,38.16,40.64,6.5,-0.05,2.95,22.79
HDSN,Pass,2,5.3,7.11,34.15,11.51,17.74,50.57
VALE,Hold,5,8.17,12.82,56.95,1.25,19.42,7.23
