Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
GLOB,Pass,2,56.57,69.5,22.85,7.95,,
DXCM,Pass,4,66.33,66.64,0.47,-12.47,,
NOG,Pass,1,21.42,21.65,1.05,4.2,,
TLRY,Pass,1,15.4,11.13,-27.73,-29.87,,
OKTA,Pass,3,87.71,89.76,2.34,-4.3,,
UA,Pass,1,4.62,4.32,-6.6,-5.84,,
SSTK,Pass,2,24.62,18.47,-24.97,-14.26,,
KSPI,Monitor,5,73.92,78.4,6.06,-0.22,,
FISV,Pass,4,118.0,67.79,-42.56,-46.86,,
PYPL,Buy,7,65.9,59.58,-9.59,-4.91,,
BABA,Hold,8,165.09,151.14,-8.45,-6.84,,
INTC,Hold,7,36.84,37.46,1.67,-3.58,,
NOV,Buy,8,12.63,15.7,24.33,23.88,,
ETSY,Buy,8,71.45,54.55,-23.65,-20.08,,
VFC,Buy,9,14.1,18.76,33.09,5.65,,
