Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
INTC,Buy,9,21.47,37.47,74.55,3.91,-2.98,11.6
BABA,Buy,8,83.29,151.14,81.46,20.63,1.61,61.64
PYPL,Hold,7,71.6,59.58,-16.79,12.61,27.21,-2.93
DIS,Hold,6,91.44,112.75,23.31,4.19,21.27,6.93
PFE,Hold,5,27.39,25.48,-6.98,-0.54,-14.04,-9.36
ANF,Short,7,134.41,120.39,-10.43,21.85,9.26,-38.73
NKE,Hold,4,78.39,58.96,-24.79,4.09,-3.78,-9.98
BAC,Hold,5,38.44,55.17,43.51,8.22,15.61,8.69
C,Hold,5,57.18,115.3,101.64,8.37,21.65,23.05
XOM,Hold,7,109.24,116.79,6.91,5.68,-4.22,3.26
INTC,Buy,9,21.47,37.47,74.55,3.91,-2.98,11.6
BABA,Buy,8,83.29,151.14,81.46,20.63,1.61,61.64
PYPL,Hold,7,71.6,59.58,-16.79,12.61,27.21,-2.93
DIS,Hold,6,91.44,112.75,23.31,4.19,21.27,6.93
PFE,Hold,5,27.39,25.48,-6.98,-0.54,-14.04,-9.36
ANF,Short,7,134.41,120.39,-10.43,21.85,9.26,-38.73
NKE,Hold,4,78.39,58.96,-24.79,4.09,-3.78,-9.98
BAC,Hold,5,38.44,55.17,43.51,8.22,15.61,8.69
C,Hold,5,57.18,115.3,101.64,8.37,21.65,23.05
XOM,Hold,7,109.24,116.79,6.91,5.68,-4.22,3.26
INTC,Buy,9,21.47,37.47,74.55,3.91,-2.98,11.6
BABA,Buy,8,83.29,151.14,81.46,20.63,1.61,61.64
PYPL,Hold,7,71.6,59.58,-16.79,12.61,27.21,-2.93
DIS,Hold,6,91.44,112.75,23.31,4.19,21.27,6.93
PFE,Hold,5,27.39,25.48,-6.98,-0.54,-14.04,-9.36
ANF,Short,7,134.41,120.39,-10.43,21.85,9.26,-38.73
NKE,Hold,4,78.39,58.96,-24.79,4.09,-3.78,-9.98
BAC,Hold,5,38.44,55.17,43.51,8.22,15.61,8.69
C,Hold,5,57.18,115.3,101.64,8.37,21.65,23.05
XOM,Hold,7,109.24,116.79,6.91,5.68,-4.22,3.26
INTC,Buy,9,21.14,37.47,77.27,7.71,-8.7,14.57
BABA,Buy,8,87.02,151.14,73.69,15.75,-3.94,51.97
PYPL,Hold,7,77.39,59.58,-23.01,4.34,10.16,-8.51
DIS,Hold,6,92.02,112.75,22.53,4.1,19.68,7.68
PFE,Hold,5,27.24,25.48,-6.45,-1.48,-11.35,-9.02
ANF,Short,7,139.32,120.39,-13.59,12.51,4.01,-43.05
NKE,Hold,4,78.72,58.96,-25.11,2.4,-4.55,-15.93
BAC,Hold,5,39.72,55.17,38.87,3.55,7.03,6.64
C,Hold,5,60.78,115.3,89.7,-0.27,9.05,19.35
XOM,Hold,7,110.98,116.79,5.23,3.46,-7.5,1.55
