Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
BABA,Buy on dips,10,137.62,151.14,9.82,-16.73,-14.28,-1.49
PYPL,Buy on dips,9,67.92,59.58,-12.28,-14.26,6.45,0.26
AAP,Buy on dips,9,33.06,40.91,23.73,4.1,56.79,81.89
IJR,Buy,8,105.65,122.65,16.09,-11.51,-0.51,11.81
INTC,Buy,7,20.75,37.47,80.6,-4.34,-3.66,18.02
GXO,Buy,7,38.38,53.13,38.43,-10.53,9.25,37.13
CSX,Buy,7,30.57,36.62,19.82,-12.03,3.05,6.03
