Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
NKE,Buy,8,103.76,58.96,-43.18,-4.88,-12.55,-12.15
INTC,Buy,8,49.83,37.47,-24.8,-13.56,-13.07,-39.0
GXO,Buy,10,62.66,53.13,-15.21,-9.1,-16.01,-20.84
CCI,Buy,9,103.59,86.77,-16.24,-6.05,-7.33,-13.17
VFC,Hold,7,17.91,18.69,4.38,-7.32,-18.94,-25.37
ETSY,Hold,7,82.59,54.5,-34.01,-15.81,-17.68,-28.9
YETI,Hold,6,52.82,44.24,-16.24,-13.42,-27.41,-25.58
AIS,Hold,5,25.09,36.87,46.97,-1.92,-6.98,3.07
BABA,Hold,8,73.0,151.14,107.03,-2.43,-5.62,-2.51
TLT,Buy,9,91.17,87.54,-3.98,-5.04,-3.5,-3.72
^GSPC,Hold,8,4774.75,6836.33,43.18,2.43,9.92,14.83
VFC,Hold,7,17.91,18.69,4.38,-7.32,-18.94,-25.37
AAPL,Hold/Reduce,6,191.24,271.07,41.74,-0.33,-10.11,11.2
AMC,Avoid,1,6.11,1.79,-70.7,-33.39,-28.97,-21.77
DIS,Buy,7,89.15,112.75,26.48,4.85,33.02,12.34
TGT,Hold,5,131.18,96.99,-26.06,1.06,24.77,5.53
HSY,Hold,5,172.52,190.17,10.23,3.71,6.38,1.55
DG,Buy,8,127.21,135.53,6.54,0.73,16.4,-1.3
ADM,Hold,5,67.24,58.49,-13.02,-28.1,-12.16,-14.79
EL,Hold,5,139.4,108.49,-22.17,-9.8,0.47,-22.79
CPS,Buy,10,20.06,35.27,75.82,-16.3,-17.8,-40.58
SIRI,Avoid,2,50.7,20.94,-58.7,-2.91,-28.71,-49.66
EXPE,Hold,7,151.91,291.7,92.02,-0.79,-9.24,-18.6
F,Avoid,3,10.83,13.45,24.16,-8.51,7.73,2.11
ASML,Hold,5,749.44,1061.27,41.61,13.78,27.93,35.31
MZDAY,Avoid,3,5.03,3.87,-23.0,8.85,9.98,-9.6
NKE,Buy,8,103.76,58.96,-43.18,-4.88,-12.55,-12.15
INTC,Buy,8,49.83,37.47,-24.8,-13.56,-13.07,-39.0
GXO,Buy,10,62.66,53.13,-15.21,-9.1,-16.01,-20.84
CCI,Buy,9,103.59,86.77,-16.24,-6.05,-7.33,-13.17
VFC,Hold,7,17.91,18.69,4.38,-7.32,-18.94,-25.37
ETSY,Hold,7,82.59,54.5,-34.01,-15.81,-17.68,-28.9
YETI,Hold,6,52.82,44.24,-16.24,-13.42,-27.41,-25.58
AIS,Hold,5,25.09,36.87,46.97,-1.92,-6.98,3.07
BABA,Hold,8,73.0,151.14,107.03,-2.43,-5.62,-2.51
TLT,Buy,9,91.17,87.54,-3.98,-5.04,-3.5,-3.72
^GSPC,Hold,8,4774.75,6836.33,43.18,2.43,9.92,14.83
VFC,Hold,7,17.91,18.69,4.38,-7.32,-18.94,-25.37
AAPL,Hold/Reduce,6,191.24,271.07,41.74,-0.33,-10.11,11.2
AMC,Avoid,1,6.11,1.79,-70.7,-33.39,-28.97,-21.77
DIS,Buy,7,89.15,112.75,26.48,4.85,33.02,12.34
TGT,Hold,5,131.18,96.99,-26.06,1.06,24.77,5.53
HSY,Hold,5,172.52,190.17,10.23,3.71,6.38,1.55
DG,Buy,8,127.21,135.53,6.54,0.73,16.4,-1.3
ADM,Hold,5,67.24,58.49,-13.02,-28.1,-12.16,-14.79
EL,Hold,5,139.4,108.49,-22.17,-9.8,0.47,-22.79
CPS,Buy,10,20.06,35.27,75.82,-16.3,-17.8,-40.58
SIRI,Avoid,2,50.7,20.94,-58.7,-2.91,-28.71,-49.66
EXPE,Hold,7,151.91,291.7,92.02,-0.79,-9.24,-18.6
F,Avoid,3,10.83,13.45,24.16,-8.51,7.73,2.11
ASML,Hold,5,749.44,1061.27,41.61,13.78,27.93,35.31
MZDAY,Avoid,3,5.03,3.87,-23.0,8.85,9.98,-9.6
NKE,Buy,8,75.17,58.96,-21.58,-0.47,-17.08,-3.47
INTC,Buy,8,20.44,37.47,83.34,-3.38,11.11,11.79
GXO,Buy,10,42.8,53.13,24.14,7.9,-8.69,15.54
CCI,Buy,9,86.67,86.77,0.11,-3.57,16.28,16.95
VFC,Hold,7,21.63,18.69,-13.56,15.55,-29.51,-44.02
ETSY,Hold,7,53.84,54.5,1.23,2.25,-12.37,-4.61
YETI,Hold,6,39.38,44.24,12.34,-4.16,-15.95,-16.38
AIS,Hold,5,24.92,36.87,47.98,-3.6,-13.56,10.85
BABA,Hold,8,84.65,151.14,78.55,12.36,53.61,34.64
TLT,Buy,9,84.41,87.54,3.72,0.22,4.35,2.54
^GSPC,Hold,8,6037.59,6836.33,13.23,0.03,-7.05,2.66
VFC,Hold,7,21.63,18.69,-13.56,15.55,-29.51,-44.02
AAPL,Hold/Reduce,6,257.85,271.07,5.13,-7.59,-14.15,-19.57
AMC,Avoid,1,4.05,1.79,-55.8,-20.74,-29.14,-30.37
DIS,Buy,7,111.32,112.75,1.29,0.57,-12.31,10.19
TGT,Hold,5,130.63,96.99,-25.75,2.71,-22.83,-22.33
HSY,Hold,5,164.78,190.17,15.41,-12.31,1.36,5.08
DG,Buy,8,73.74,135.53,83.8,-4.0,17.17,54.64
ADM,Hold,5,48.71,58.49,20.08,2.07,-4.08,9.91
EL,Hold,5,73.7,108.49,47.2,9.71,-11.58,14.61
CPS,Buy,10,14.37,35.27,145.44,10.79,6.61,57.41
SIRI,Avoid,2,22.34,20.94,-6.26,-6.83,-2.78,3.15
EXPE,Hold,7,188.6,291.7,54.67,-9.91,-11.4,-8.05
F,Avoid,3,9.38,13.45,43.46,1.39,2.86,18.09
ASML,Hold,5,709.08,1061.27,49.67,-0.45,-7.24,11.0
MZDAY,Avoid,3,3.31,3.87,16.92,-3.8,-5.13,-12.08
